,question,answer,image_path,label
11480,what is the color of the circle?,yellow,1190.png,8
11481,what is the color of the shape?,yellow,1190.png,8
11482,is there not a triangle?,yes,1190.png,4
11483,does the image not contain a triangle?,yes,1190.png,4
11484,does the image contain a gray shape?,no,1190.png,12
11485,is a red shape present?,no,1190.png,12
11486,is there a teal shape?,no,1190.png,12
11487,does the image not contain a teal shape?,yes,1190.png,4
11488,is no brown shape present?,yes,1190.png,4
11489,what shape does the image contain?,circle,1191.png,0
11490,what color is the circle?,black,1191.png,6
11491,what is the color of the circle?,black,1191.png,6
11492,is there not a circle?,no,1191.png,12
11493,is no circle present?,no,1191.png,12
11494,is there a gray shape?,no,1191.png,12
11495,is a gray shape present?,no,1191.png,12
11496,is there not a green shape in the image?,yes,1191.png,4
11497,is there a blue shape in the image?,no,1191.png,12
11498,is no brown shape present?,yes,1191.png,4
11499,what is the green shape?,rectangle,1192.png,7
11500,what is the color of the rectangle?,green,1192.png,1
11501,is there not a rectangle in the image?,no,1192.png,12
11502,is there not a circle?,yes,1192.png,4
11503,does the image not contain a triangle?,yes,1192.png,4
11504,is there not a black shape?,yes,1192.png,4
11505,is there a gray shape?,no,1192.png,12
11506,is no gray shape present?,yes,1192.png,4
11507,is there not a red shape?,yes,1192.png,4
11508,is there not a red shape in the image?,yes,1192.png,4
11509,is a brown shape present?,no,1192.png,12
11510,is no brown shape present?,yes,1192.png,4
11511,what shape is present?,rectangle,1193.png,7
11512,what shape does the image contain?,rectangle,1193.png,7
11513,is there not a circle in the image?,yes,1193.png,4
11514,is there not a black shape in the image?,yes,1193.png,4
11515,is no gray shape present?,yes,1193.png,4
11516,does the image contain a red shape?,no,1193.png,12
11517,does the image not contain a green shape?,no,1193.png,12
11518,is there a yellow shape in the image?,no,1193.png,12
11519,is a yellow shape present?,no,1193.png,12
11520,is there not a teal shape?,yes,1193.png,4
11521,what shape does the image contain?,triangle,1194.png,9
11522,what is the color of the triangle?,blue,1194.png,11
11523,what color is the shape?,blue,1194.png,11
11524,is a circle present?,no,1194.png,12
11525,is there not a triangle?,no,1194.png,12
11526,is a black shape present?,no,1194.png,12
11527,is there a green shape?,no,1194.png,12
11528,is there not a yellow shape?,yes,1194.png,4
11529,is no yellow shape present?,yes,1194.png,4
11530,is there a teal shape?,no,1194.png,12
11531,what shape is present?,rectangle,1195.png,7
11532,what is the color of the shape?,green,1195.png,1
11533,is a triangle present?,no,1195.png,12
11534,is there not a red shape in the image?,yes,1195.png,4
11535,is there a green shape in the image?,yes,1195.png,4
11536,does the image not contain a green shape?,no,1195.png,12
11537,is there not a blue shape?,yes,1195.png,4
11538,is there not a yellow shape?,yes,1195.png,4
11539,is there not a brown shape?,yes,1195.png,4
11540,is there not a brown shape in the image?,yes,1195.png,4
11541,what shape does the image contain?,circle,1196.png,0
11542,what color is the circle?,brown,1196.png,10
11543,what is the color of the circle?,brown,1196.png,10
11544,what is the color of the shape?,brown,1196.png,10
11545,is a circle present?,yes,1196.png,4
11546,does the image not contain a circle?,no,1196.png,12
11547,is there a triangle?,no,1196.png,12
11548,is there a red shape in the image?,no,1196.png,12
11549,is there not a red shape in the image?,yes,1196.png,4
11550,is a yellow shape present?,no,1196.png,12
11551,is there not a yellow shape?,yes,1196.png,4
11552,does the image contain a teal shape?,no,1196.png,12
11553,does the image contain a brown shape?,yes,1196.png,4
11554,what shape does the image contain?,circle,1197.png,0
11555,what color is the circle?,green,1197.png,1
11556,what is the color of the shape?,green,1197.png,1
11557,is there a rectangle?,no,1197.png,12
11558,is there a black shape in the image?,no,1197.png,12
11559,does the image contain a black shape?,no,1197.png,12
11560,is no black shape present?,yes,1197.png,4
11561,is there a gray shape in the image?,no,1197.png,12
11562,is there not a teal shape?,yes,1197.png,4
11563,what shape is present?,rectangle,1198.png,7
11564,what is the blue shape?,rectangle,1198.png,7
11565,is there a rectangle?,yes,1198.png,4
11566,does the image contain a circle?,no,1198.png,12
11567,is there not a circle?,yes,1198.png,4
11568,does the image contain a black shape?,no,1198.png,12
11569,does the image contain a gray shape?,no,1198.png,12
11570,does the image contain a red shape?,no,1198.png,12
11571,is a green shape present?,no,1198.png,12
11572,does the image not contain a green shape?,yes,1198.png,4
11573,is there not a yellow shape?,yes,1198.png,4
11574,is there a teal shape in the image?,no,1198.png,12
11575,is there a brown shape in the image?,no,1198.png,12
11576,what shape is in the image?,triangle,1199.png,9
11577,what color is the triangle?,red,1199.png,2
11578,is there a rectangle?,no,1199.png,12
11579,does the image not contain a circle?,yes,1199.png,4
11580,is there a red shape?,yes,1199.png,4
11581,is no green shape present?,yes,1199.png,4
11582,is no blue shape present?,yes,1199.png,4
11583,is a brown shape present?,no,1199.png,12
11584,what is the brown shape?,circle,1200.png,0
11585,what is the color of the shape?,brown,1200.png,10
11586,does the image not contain a circle?,no,1200.png,12
11587,is there a black shape?,no,1200.png,12
11588,does the image not contain a red shape?,yes,1200.png,4
11589,is no blue shape present?,yes,1200.png,4
11590,is there not a yellow shape in the image?,yes,1200.png,4
11591,is there a brown shape?,yes,1200.png,4
11592,what shape is in the image?,triangle,1201.png,9
11593,what shape is present?,triangle,1201.png,9
11594,is there not a rectangle in the image?,yes,1201.png,4
11595,is there not a triangle?,no,1201.png,12
11596,does the image not contain a triangle?,no,1201.png,12
11597,is there a yellow shape?,no,1201.png,12
11598,does the image not contain a yellow shape?,yes,1201.png,4
11599,is there a teal shape?,no,1201.png,12
11600,is a teal shape present?,no,1201.png,12
11601,what shape is in the image?,rectangle,1202.png,7
11602,what shape is present?,rectangle,1202.png,7
11603,what is the color of the rectangle?,black,1202.png,6
11604,is a rectangle present?,yes,1202.png,4
11605,is no rectangle present?,no,1202.png,12
11606,is there a triangle?,no,1202.png,12
11607,does the image not contain a blue shape?,yes,1202.png,4
11608,is there not a brown shape?,yes,1202.png,4
11609,what shape is in the image?,triangle,1203.png,9
11610,what is the brown shape?,triangle,1203.png,9
11611,what color is the triangle?,brown,1203.png,10
11612,is no rectangle present?,yes,1203.png,4
11613,does the image not contain a triangle?,no,1203.png,12
11614,is a black shape present?,no,1203.png,12
11615,is there a teal shape in the image?,no,1203.png,12
11616,what color is the rectangle?,yellow,1204.png,8
11617,what is the color of the rectangle?,yellow,1204.png,8
11618,what color is the shape?,yellow,1204.png,8
11619,does the image not contain a triangle?,yes,1204.png,4
11620,does the image contain a black shape?,no,1204.png,12
11621,is a black shape present?,no,1204.png,12
11622,is no yellow shape present?,no,1204.png,12
11623,is there a brown shape in the image?,no,1204.png,12
11624,is a brown shape present?,no,1204.png,12
11625,what shape is present?,rectangle,1205.png,7
11626,what shape does the image contain?,rectangle,1205.png,7
11627,what is the brown shape?,rectangle,1205.png,7
11628,what is the color of the rectangle?,brown,1205.png,10
11629,is there a rectangle in the image?,yes,1205.png,4
11630,is there not a triangle?,yes,1205.png,4
11631,is a red shape present?,no,1205.png,12
11632,does the image contain a green shape?,no,1205.png,12
11633,is there not a green shape?,yes,1205.png,4
11634,is there not a blue shape?,yes,1205.png,4
11635,is there a yellow shape?,no,1205.png,12
11636,does the image not contain a yellow shape?,yes,1205.png,4
11637,is a teal shape present?,no,1205.png,12
11638,what shape is present?,rectangle,1206.png,7
11639,what shape does the image contain?,rectangle,1206.png,7
11640,what is the color of the shape?,brown,1206.png,10
11641,does the image contain a rectangle?,yes,1206.png,4
11642,is there not a triangle in the image?,yes,1206.png,4
11643,is there a red shape in the image?,no,1206.png,12
11644,is there a green shape in the image?,no,1206.png,12
11645,is there not a teal shape?,yes,1206.png,4
11646,what is the color of the triangle?,black,1207.png,6
11647,what is the color of the shape?,black,1207.png,6
11648,is there a rectangle in the image?,no,1207.png,12
11649,does the image not contain a triangle?,no,1207.png,12
11650,is there a black shape?,yes,1207.png,4
11651,is no green shape present?,yes,1207.png,4
11652,does the image contain a yellow shape?,no,1207.png,12
11653,is there not a yellow shape?,yes,1207.png,4
11654,is there a teal shape?,no,1207.png,12
11655,what shape is present?,circle,1208.png,0
11656,what is the color of the circle?,blue,1208.png,11
11657,what color is the shape?,blue,1208.png,11
11658,is there a rectangle in the image?,no,1208.png,12
11659,is there a triangle in the image?,no,1208.png,12
11660,is no black shape present?,yes,1208.png,4
11661,is there not a red shape?,yes,1208.png,4
11662,is no red shape present?,yes,1208.png,4
11663,is there a blue shape in the image?,yes,1208.png,4
11664,does the image contain a blue shape?,yes,1208.png,4
11665,is there a yellow shape in the image?,no,1208.png,12
11666,what color is the rectangle?,green,1209.png,1
11667,what is the color of the rectangle?,green,1209.png,1
11668,what color is the shape?,green,1209.png,1
11669,does the image contain a rectangle?,yes,1209.png,4
11670,is a triangle present?,no,1209.png,12
11671,is there a black shape in the image?,no,1209.png,12
11672,is there a gray shape in the image?,no,1209.png,12
11673,is there not a red shape in the image?,yes,1209.png,4
11674,is there a green shape in the image?,yes,1209.png,4
11675,is there a blue shape?,no,1209.png,12
11676,does the image contain a yellow shape?,no,1209.png,12
11677,does the image not contain a yellow shape?,yes,1209.png,4
11678,is there a teal shape?,no,1209.png,12
11679,is there a teal shape in the image?,no,1209.png,12
11680,is a brown shape present?,no,1209.png,12
11681,what shape is in the image?,triangle,1210.png,9
11682,what is the teal shape?,triangle,1210.png,9
11683,what is the color of the triangle?,teal,1210.png,5
11684,is there a rectangle?,no,1210.png,12
11685,is a circle present?,no,1210.png,12
11686,does the image contain a triangle?,yes,1210.png,4
11687,is there not a yellow shape?,yes,1210.png,4
11688,is there not a brown shape in the image?,yes,1210.png,4
11689,is no brown shape present?,yes,1210.png,4
11690,what shape does the image contain?,triangle,1211.png,9
11691,what is the gray shape?,triangle,1211.png,9
11692,what color is the shape?,gray,1211.png,3
11693,what is the color of the shape?,gray,1211.png,3
11694,is a circle present?,no,1211.png,12
11695,is no circle present?,yes,1211.png,4
11696,is there a triangle?,yes,1211.png,4
11697,is no gray shape present?,no,1211.png,12
11698,does the image not contain a blue shape?,yes,1211.png,4
11699,does the image contain a yellow shape?,no,1211.png,12
11700,does the image contain a brown shape?,no,1211.png,12
11701,is there not a brown shape?,yes,1211.png,4
11702,what shape is in the image?,triangle,1212.png,9
11703,does the image contain a rectangle?,no,1212.png,12
11704,does the image contain a circle?,no,1212.png,12
11705,is a circle present?,no,1212.png,12
11706,is there not a black shape?,yes,1212.png,4
11707,is there not a yellow shape?,yes,1212.png,4
11708,what shape is present?,triangle,1213.png,9
11709,what shape does the image contain?,triangle,1213.png,9
11710,what is the gray shape?,triangle,1213.png,9
11711,what color is the triangle?,gray,1213.png,3
11712,is a circle present?,no,1213.png,12
11713,is there a triangle in the image?,yes,1213.png,4
11714,is no triangle present?,no,1213.png,12
11715,is there not a black shape in the image?,yes,1213.png,4
11716,does the image contain a gray shape?,yes,1213.png,4
11717,does the image not contain a red shape?,yes,1213.png,4
11718,is no red shape present?,yes,1213.png,4
11719,is a green shape present?,no,1213.png,12
11720,is there a blue shape in the image?,no,1213.png,12
11721,is a yellow shape present?,no,1213.png,12
11722,what shape is in the image?,triangle,1214.png,9
11723,what shape is present?,triangle,1214.png,9
11724,what shape does the image contain?,triangle,1214.png,9
11725,what is the color of the shape?,yellow,1214.png,8
11726,is a circle present?,no,1214.png,12
11727,is there not a green shape?,yes,1214.png,4
11728,is there not a yellow shape in the image?,no,1214.png,12
11729,is a teal shape present?,no,1214.png,12
11730,is there not a teal shape?,yes,1214.png,4
11731,is there not a teal shape in the image?,yes,1214.png,4
11732,is there a brown shape in the image?,no,1214.png,12
11733,what shape does the image contain?,triangle,1215.png,9
11734,what color is the triangle?,black,1215.png,6
11735,what is the color of the triangle?,black,1215.png,6
11736,what is the color of the shape?,black,1215.png,6
11737,is there a rectangle?,no,1215.png,12
11738,is a rectangle present?,no,1215.png,12
11739,is no rectangle present?,yes,1215.png,4
11740,does the image not contain a triangle?,no,1215.png,12
11741,does the image contain a gray shape?,no,1215.png,12
11742,is there not a gray shape?,yes,1215.png,4
11743,is a green shape present?,no,1215.png,12
11744,what shape does the image contain?,rectangle,1216.png,7
11745,what is the teal shape?,rectangle,1216.png,7
11746,what color is the rectangle?,teal,1216.png,5
11747,does the image not contain a gray shape?,yes,1216.png,4
11748,is there not a yellow shape?,yes,1216.png,4
11749,is a teal shape present?,yes,1216.png,4
11750,is a brown shape present?,no,1216.png,12
11751,what is the blue shape?,circle,1217.png,0
11752,is there not a rectangle?,yes,1217.png,4
11753,is no black shape present?,yes,1217.png,4
11754,is there not a gray shape in the image?,yes,1217.png,4
11755,does the image contain a red shape?,no,1217.png,12
11756,is there not a red shape in the image?,yes,1217.png,4
11757,does the image not contain a blue shape?,no,1217.png,12
11758,does the image not contain a yellow shape?,yes,1217.png,4
11759,is a brown shape present?,no,1217.png,12
11760,what shape is in the image?,rectangle,1218.png,7
11761,what is the yellow shape?,rectangle,1218.png,7
11762,what is the color of the shape?,yellow,1218.png,8
11763,is a rectangle present?,yes,1218.png,4
11764,is there not a gray shape?,yes,1218.png,4
11765,is a blue shape present?,no,1218.png,12
11766,does the image contain a brown shape?,no,1218.png,12
11767,is a brown shape present?,no,1218.png,12
11768,what is the blue shape?,circle,1219.png,0
11769,is there a triangle in the image?,no,1219.png,12
11770,is a triangle present?,no,1219.png,12
11771,does the image contain a black shape?,no,1219.png,12
11772,is there a gray shape?,no,1219.png,12
11773,is there a gray shape in the image?,no,1219.png,12
11774,is a red shape present?,no,1219.png,12
11775,is there a teal shape in the image?,no,1219.png,12
11776,is there not a brown shape in the image?,yes,1219.png,4
11777,does the image not contain a brown shape?,yes,1219.png,4
11778,is there a rectangle?,yes,1220.png,4
11779,is there a circle in the image?,no,1220.png,12
11780,does the image not contain a circle?,yes,1220.png,4
11781,is no circle present?,yes,1220.png,4
11782,is there not a red shape?,no,1220.png,12
11783,is there not a yellow shape?,yes,1220.png,4
11784,does the image contain a teal shape?,no,1220.png,12
11785,is there a brown shape?,no,1220.png,12
11786,is a brown shape present?,no,1220.png,12
11787,what shape is in the image?,circle,1221.png,0
11788,what shape does the image contain?,circle,1221.png,0
11789,does the image contain a rectangle?,no,1221.png,12
11790,is there not a rectangle in the image?,yes,1221.png,4
11791,is there not a circle?,no,1221.png,12
11792,is there not a triangle in the image?,yes,1221.png,4
11793,does the image contain a black shape?,no,1221.png,12
11794,is there not a black shape?,yes,1221.png,4
11795,does the image contain a red shape?,no,1221.png,12
11796,does the image not contain a red shape?,yes,1221.png,4
11797,is a teal shape present?,no,1221.png,12
11798,is a brown shape present?,no,1221.png,12
11799,what is the color of the rectangle?,yellow,1222.png,8
11800,what color is the shape?,yellow,1222.png,8
11801,does the image not contain a circle?,yes,1222.png,4
11802,is a triangle present?,no,1222.png,12
11803,does the image contain a gray shape?,no,1222.png,12
11804,does the image not contain a gray shape?,yes,1222.png,4
11805,does the image contain a green shape?,no,1222.png,12
11806,is no green shape present?,yes,1222.png,4
11807,is there a blue shape?,no,1222.png,12
11808,what shape does the image contain?,triangle,1223.png,9
11809,what color is the triangle?,brown,1223.png,10
11810,is there a triangle?,yes,1223.png,4
11811,is a green shape present?,no,1223.png,12
11812,is no blue shape present?,yes,1223.png,4
11813,is there a yellow shape?,no,1223.png,12
11814,is there not a yellow shape in the image?,yes,1223.png,4
11815,is a brown shape present?,yes,1223.png,4
11816,is there not a brown shape?,no,1223.png,12
11817,what is the color of the rectangle?,green,1224.png,1
11818,what color is the shape?,green,1224.png,1
11819,does the image not contain a circle?,yes,1224.png,4
11820,is no circle present?,yes,1224.png,4
11821,does the image contain a green shape?,yes,1224.png,4
11822,is there a blue shape in the image?,no,1224.png,12
11823,is a yellow shape present?,no,1224.png,12
11824,is there not a yellow shape?,yes,1224.png,4
11825,is there not a yellow shape in the image?,yes,1224.png,4
11826,is there a brown shape?,no,1224.png,12
11827,what shape does the image contain?,triangle,1225.png,9
11828,what is the yellow shape?,triangle,1225.png,9
11829,what color is the triangle?,yellow,1225.png,8
11830,does the image not contain a rectangle?,yes,1225.png,4
11831,is no rectangle present?,yes,1225.png,4
11832,does the image not contain a triangle?,no,1225.png,12
11833,is there a gray shape?,no,1225.png,12
11834,is there not a gray shape?,yes,1225.png,4
11835,does the image not contain a blue shape?,yes,1225.png,4
11836,is no blue shape present?,yes,1225.png,4
11837,does the image not contain a teal shape?,yes,1225.png,4
11838,what shape is in the image?,circle,1226.png,0
11839,what shape is present?,circle,1226.png,0
11840,what shape does the image contain?,circle,1226.png,0
11841,what is the yellow shape?,circle,1226.png,0
11842,what color is the circle?,yellow,1226.png,8
11843,what is the color of the shape?,yellow,1226.png,8
11844,is there not a triangle?,yes,1226.png,4
11845,does the image not contain a triangle?,yes,1226.png,4
11846,does the image not contain a black shape?,yes,1226.png,4
11847,is a blue shape present?,no,1226.png,12
11848,is a yellow shape present?,yes,1226.png,4
11849,is a brown shape present?,no,1226.png,12
11850,what shape is present?,triangle,1227.png,9
11851,what is the teal shape?,triangle,1227.png,9
11852,what color is the triangle?,teal,1227.png,5
11853,what is the color of the shape?,teal,1227.png,5
11854,does the image contain a black shape?,no,1227.png,12
11855,is a red shape present?,no,1227.png,12
11856,is there a green shape?,no,1227.png,12
11857,does the image contain a yellow shape?,no,1227.png,12
11858,does the image contain a teal shape?,yes,1227.png,4
11859,is there not a brown shape?,yes,1227.png,4
11860,what shape is in the image?,rectangle,1228.png,7
11861,what is the teal shape?,rectangle,1228.png,7
11862,what is the color of the shape?,teal,1228.png,5
11863,is no triangle present?,yes,1228.png,4
11864,is there a gray shape?,no,1228.png,12
11865,is a red shape present?,no,1228.png,12
11866,is there a green shape?,no,1228.png,12
11867,does the image contain a green shape?,no,1228.png,12
11868,is there not a green shape?,yes,1228.png,4
11869,is there not a blue shape in the image?,yes,1228.png,4
11870,is there not a yellow shape?,yes,1228.png,4
11871,is there a teal shape in the image?,yes,1228.png,4
11872,does the image contain a teal shape?,yes,1228.png,4
11873,is a brown shape present?,no,1228.png,12
11874,what shape does the image contain?,triangle,1229.png,9
11875,what is the green shape?,triangle,1229.png,9
11876,what is the color of the triangle?,green,1229.png,1
11877,what color is the shape?,green,1229.png,1
11878,is there a triangle in the image?,yes,1229.png,4
11879,is a black shape present?,no,1229.png,12
11880,is there not a gray shape in the image?,yes,1229.png,4
11881,is no gray shape present?,yes,1229.png,4
11882,is there not a red shape?,yes,1229.png,4
11883,is there a blue shape?,no,1229.png,12
11884,is a blue shape present?,no,1229.png,12
11885,is no blue shape present?,yes,1229.png,4
11886,does the image contain a yellow shape?,no,1229.png,12
11887,does the image not contain a yellow shape?,yes,1229.png,4
11888,is there a brown shape?,no,1229.png,12
11889,what shape is in the image?,circle,1230.png,0
11890,what shape is present?,circle,1230.png,0
11891,what is the blue shape?,circle,1230.png,0
11892,is there a rectangle?,no,1230.png,12
11893,is there a circle in the image?,yes,1230.png,4
11894,is no triangle present?,yes,1230.png,4
11895,is there not a black shape?,yes,1230.png,4
11896,is there not a red shape?,yes,1230.png,4
11897,does the image not contain a blue shape?,no,1230.png,12
11898,is there a yellow shape?,no,1230.png,12
11899,does the image not contain a brown shape?,yes,1230.png,4
11900,what shape is present?,rectangle,1231.png,7
11901,what color is the rectangle?,black,1231.png,6
11902,what is the color of the shape?,black,1231.png,6
11903,is there not a triangle in the image?,yes,1231.png,4
11904,is there not a red shape in the image?,yes,1231.png,4
11905,is there a green shape in the image?,no,1231.png,12
11906,what is the color of the shape?,blue,1232.png,11
11907,is a rectangle present?,no,1232.png,12
11908,is there not a triangle?,no,1232.png,12
11909,does the image contain a gray shape?,no,1232.png,12
11910,is a red shape present?,no,1232.png,12
11911,is there not a red shape in the image?,yes,1232.png,4
11912,is there a green shape in the image?,no,1232.png,12
11913,is a yellow shape present?,no,1232.png,12
11914,is there not a yellow shape in the image?,yes,1232.png,4
11915,is no yellow shape present?,yes,1232.png,4
11916,does the image contain a teal shape?,no,1232.png,12
11917,is there not a teal shape?,yes,1232.png,4
11918,what is the color of the circle?,black,1233.png,6
11919,is there a rectangle?,no,1233.png,12
11920,does the image not contain a black shape?,no,1233.png,12
11921,does the image contain a red shape?,no,1233.png,12
11922,is there a green shape?,no,1233.png,12
11923,does the image not contain a blue shape?,yes,1233.png,4
11924,does the image contain a yellow shape?,no,1233.png,12
11925,is there not a yellow shape?,yes,1233.png,4
11926,is there not a teal shape in the image?,yes,1233.png,4
11927,what color is the triangle?,green,1234.png,1
11928,what is the color of the triangle?,green,1234.png,1
11929,what color is the shape?,green,1234.png,1
11930,what is the color of the shape?,green,1234.png,1
11931,is there a circle in the image?,no,1234.png,12
11932,is there a triangle in the image?,yes,1234.png,4
11933,is there a red shape in the image?,no,1234.png,12
11934,is there a teal shape?,no,1234.png,12
11935,is there not a teal shape in the image?,yes,1234.png,4
11936,is there a brown shape in the image?,no,1234.png,12
11937,is there not a brown shape in the image?,yes,1234.png,4
11938,does the image not contain a brown shape?,yes,1234.png,4
11939,what shape is in the image?,rectangle,1235.png,7
11940,what shape is present?,rectangle,1235.png,7
11941,what is the color of the rectangle?,black,1235.png,6
11942,what color is the shape?,black,1235.png,6
11943,what is the color of the shape?,black,1235.png,6
11944,is there a circle in the image?,no,1235.png,12
11945,is there not a circle?,yes,1235.png,4
11946,is there a triangle?,no,1235.png,12
11947,is there not a red shape?,yes,1235.png,4
11948,what is the black shape?,rectangle,1236.png,7
11949,what color is the rectangle?,black,1236.png,6
11950,what color is the shape?,black,1236.png,6
11951,what is the color of the shape?,black,1236.png,6
11952,does the image not contain a rectangle?,no,1236.png,12
11953,does the image contain a circle?,no,1236.png,12
11954,is no circle present?,yes,1236.png,4
11955,is a triangle present?,no,1236.png,12
11956,is a black shape present?,yes,1236.png,4
11957,does the image not contain a gray shape?,yes,1236.png,4
11958,is no blue shape present?,yes,1236.png,4
11959,is there not a teal shape in the image?,yes,1236.png,4
11960,what is the color of the rectangle?,green,1237.png,1
11961,what color is the shape?,green,1237.png,1
11962,what is the color of the shape?,green,1237.png,1
11963,is there a rectangle in the image?,yes,1237.png,4
11964,is there not a black shape?,yes,1237.png,4
11965,does the image not contain a red shape?,yes,1237.png,4
11966,is no teal shape present?,yes,1237.png,4
11967,is there not a brown shape?,yes,1237.png,4
11968,what shape does the image contain?,circle,1238.png,0
11969,what is the blue shape?,circle,1238.png,0
11970,what color is the shape?,blue,1238.png,11
11971,is there a circle?,yes,1238.png,4
11972,does the image contain a circle?,yes,1238.png,4
11973,does the image not contain a circle?,no,1238.png,12
11974,is there not a green shape in the image?,yes,1238.png,4
11975,does the image contain a blue shape?,yes,1238.png,4
11976,is there not a blue shape in the image?,no,1238.png,12
11977,is a yellow shape present?,no,1238.png,12
11978,is there a brown shape?,no,1238.png,12
11979,what shape is in the image?,circle,1239.png,0
11980,what shape is present?,circle,1239.png,0
11981,is a circle present?,yes,1239.png,4
11982,does the image contain a gray shape?,yes,1239.png,4
11983,is a gray shape present?,yes,1239.png,4
11984,is there not a red shape?,yes,1239.png,4
11985,is a green shape present?,no,1239.png,12
11986,is there a brown shape?,no,1239.png,12
11987,what shape is present?,triangle,1240.png,9
11988,what shape does the image contain?,triangle,1240.png,9
11989,what is the teal shape?,triangle,1240.png,9
11990,what color is the triangle?,teal,1240.png,5
11991,what color is the shape?,teal,1240.png,5
11992,what is the color of the shape?,teal,1240.png,5
11993,does the image not contain a circle?,yes,1240.png,4
11994,is there a red shape in the image?,no,1240.png,12
11995,is there not a green shape in the image?,yes,1240.png,4
11996,what shape is in the image?,rectangle,1241.png,7
11997,what shape is present?,rectangle,1241.png,7
11998,what is the blue shape?,rectangle,1241.png,7
11999,what color is the rectangle?,blue,1241.png,11
12000,what is the color of the shape?,blue,1241.png,11
12001,is there not a circle?,yes,1241.png,4
12002,is a red shape present?,no,1241.png,12
12003,does the image not contain a yellow shape?,yes,1241.png,4
12004,what shape does the image contain?,rectangle,1242.png,7
12005,what is the color of the rectangle?,yellow,1242.png,8
12006,what color is the shape?,yellow,1242.png,8
12007,what is the color of the shape?,yellow,1242.png,8
12008,does the image not contain a circle?,yes,1242.png,4
12009,does the image contain a black shape?,no,1242.png,12
12010,is there a gray shape in the image?,no,1242.png,12
12011,is there a blue shape in the image?,no,1242.png,12
12012,is no blue shape present?,yes,1242.png,4
12013,does the image not contain a yellow shape?,no,1242.png,12
12014,is no yellow shape present?,no,1242.png,12
12015,is a teal shape present?,no,1242.png,12
12016,is there not a teal shape in the image?,yes,1242.png,4
12017,what is the yellow shape?,rectangle,1243.png,7
12018,what color is the rectangle?,yellow,1243.png,8
12019,is there not a black shape?,yes,1243.png,4
12020,is a gray shape present?,no,1243.png,12
12021,is no green shape present?,yes,1243.png,4
12022,is there a teal shape in the image?,no,1243.png,12
12023,is there not a teal shape?,yes,1243.png,4
12024,is no brown shape present?,yes,1243.png,4
12025,is no rectangle present?,no,1244.png,12
12026,is there not a circle in the image?,yes,1244.png,4
12027,is there a red shape in the image?,no,1244.png,12
12028,is there not a red shape in the image?,yes,1244.png,4
12029,is there a yellow shape?,no,1244.png,12
12030,what is the color of the triangle?,teal,1245.png,5
12031,is a rectangle present?,no,1245.png,12
12032,is there not a rectangle in the image?,yes,1245.png,4
12033,is there a circle?,no,1245.png,12
12034,is no triangle present?,no,1245.png,12
12035,is there a green shape?,no,1245.png,12
12036,is there not a green shape in the image?,yes,1245.png,4
12037,is there a yellow shape in the image?,no,1245.png,12
12038,what shape is present?,rectangle,1246.png,7
12039,what shape does the image contain?,rectangle,1246.png,7
12040,what is the color of the shape?,black,1246.png,6
12041,is there not a rectangle in the image?,no,1246.png,12
12042,is there a triangle in the image?,no,1246.png,12
12043,is there a gray shape in the image?,no,1246.png,12
12044,does the image contain a red shape?,no,1246.png,12
12045,does the image not contain a red shape?,yes,1246.png,4
12046,is there a blue shape in the image?,no,1246.png,12
12047,is there not a yellow shape?,yes,1246.png,4
12048,what shape does the image contain?,triangle,1247.png,9
12049,what color is the shape?,green,1247.png,1
12050,what is the color of the shape?,green,1247.png,1
12051,is no rectangle present?,yes,1247.png,4
12052,does the image contain a circle?,no,1247.png,12
12053,is there a gray shape in the image?,no,1247.png,12
12054,is there not a red shape?,yes,1247.png,4
12055,does the image not contain a red shape?,yes,1247.png,4
12056,is no red shape present?,yes,1247.png,4
12057,is there a teal shape?,no,1247.png,12
12058,is a teal shape present?,no,1247.png,12
12059,is there not a teal shape in the image?,yes,1247.png,4
12060,what shape is present?,triangle,1248.png,9
12061,what shape does the image contain?,triangle,1248.png,9
12062,what color is the triangle?,teal,1248.png,5
12063,what is the color of the triangle?,teal,1248.png,5
12064,is no triangle present?,no,1248.png,12
12065,is there not a gray shape?,yes,1248.png,4
12066,is there not a yellow shape in the image?,yes,1248.png,4
12067,does the image contain a teal shape?,yes,1248.png,4
12068,is there not a teal shape?,no,1248.png,12
12069,is there a brown shape in the image?,no,1248.png,12
12070,is a brown shape present?,no,1248.png,12
12071,is no brown shape present?,yes,1248.png,4
12072,what color is the shape?,brown,1249.png,10
12073,does the image contain a rectangle?,no,1249.png,12
12074,is no black shape present?,yes,1249.png,4
12075,is there not a blue shape?,yes,1249.png,4
12076,is a teal shape present?,no,1249.png,12
12077,does the image not contain a teal shape?,yes,1249.png,4
12078,is no teal shape present?,yes,1249.png,4
12079,is there not a brown shape?,no,1249.png,12
12080,what color is the circle?,gray,1250.png,3
12081,what color is the shape?,gray,1250.png,3
12082,is there not a rectangle in the image?,yes,1250.png,4
12083,is there not a black shape in the image?,yes,1250.png,4
12084,is there not a gray shape?,no,1250.png,12
12085,does the image contain a red shape?,no,1250.png,12
12086,does the image not contain a red shape?,yes,1250.png,4
12087,is there a blue shape in the image?,no,1250.png,12
12088,is there not a blue shape in the image?,yes,1250.png,4
12089,is there not a brown shape?,yes,1250.png,4
12090,what is the red shape?,triangle,1251.png,9
12091,what color is the triangle?,red,1251.png,2
12092,is no rectangle present?,yes,1251.png,4
